canonical_url,gmail_url,sitemap_url,published_iso,lastmod_iso,title,ai_tool_credits,tags,category,asset_urls_json,topical_classification,gmail_known,pdf_status,kg_status,pdf_sha256,last_seen_iso,is_repost,repost_source_url
https://bsahely.com/2011/12/09/our-empathic-human-nature-rediscovered/,,https://bsahely.com/2011/12/09/our-empathic-human-nature-rediscovered/,2011-12-09T00:00:00Z,2023-09-09T20:14:22+00:00,Our Empathic Human Nature Rediscovered,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2012/05/13/keynote-address-given-at-the-white-coat-ceremony-at-umhs-on-may-12-2012/,,https://bsahely.com/2012/05/13/keynote-address-given-at-the-white-coat-ceremony-at-umhs-on-may-12-2012/,2012-05-13T00:00:00Z,2018-12-09T03:24:34+00:00,Keynote Address Given At The White Coat Ceremony At Umhs On May 12 2012,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2012/05/26/diagnosing-the-root-cause-of-our-political-dis-ease-2/,,https://bsahely.com/2012/05/26/diagnosing-the-root-cause-of-our-political-dis-ease-2/,2012-05-26T00:00:00Z,2018-08-18T20:03:23+00:00,Diagnosing The Root Cause Of Our Political Dis Ease 2,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2012/06/03/exorcising-the-demons-from-our-religion-my-spiritual-odyssey-from-endarkenment-to-enlightenment/,,https://bsahely.com/2012/06/03/exorcising-the-demons-from-our-religion-my-spiritual-odyssey-from-endarkenment-to-enlightenment/,2012-06-03T00:00:00Z,2022-08-26T03:03:37+00:00,Exorcising The Demons From Our Religion My Spiritual Odyssey From Endarkenment To Enlightenment,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2012/06/10/ennobling-the-political-establishment-seeing-the-folly-of-our-ways-and-helping-to-raise-the-bar-once-and-for-all-for-one-and-all/,,https://bsahely.com/2012/06/10/ennobling-the-political-establishment-seeing-the-folly-of-our-ways-and-helping-to-raise-the-bar-once-and-for-all-for-one-and-all/,2012-06-10T00:00:00Z,2018-11-25T07:14:29+00:00,Ennobling The Political Establishment Seeing The Folly Of Our Ways And Helping To Raise The Bar Once And For All For One And All,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2012/06/17/letter-from-a-basseterre-jail-king-jr/,,https://bsahely.com/2012/06/17/letter-from-a-basseterre-jail-king-jr/,2012-06-17T00:00:00Z,2018-08-18T20:21:00+00:00,Letter From A Basseterre Jail King Jr,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2012/06/23/feature-address-for-basseterre-high-school-speech-day-and-prize-giving-ceremony-2004/,,https://bsahely.com/2012/06/23/feature-address-for-basseterre-high-school-speech-day-and-prize-giving-ceremony-2004/,2012-06-23T00:00:00Z,2018-08-18T20:09:42+00:00,Feature Address For Basseterre High School Speech Day And Prize Giving Ceremony 2004,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2012/06/23/how-to-create-heaven-here-on-earth-written-just-after-september-2001/,,https://bsahely.com/2012/06/23/how-to-create-heaven-here-on-earth-written-just-after-september-2001/,2012-06-23T00:00:00Z,2018-08-18T20:14:34+00:00,How To Create Heaven Here On Earth Written Just After September 2001,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2012/06/24/the_empathic_civilization/,,https://bsahely.com/2012/06/24/the_empathic_civilization/,2012-06-24T00:00:00Z,2018-11-25T07:14:36+00:00,The_empathic_civilization,,,,[],peace-civilization,false,unknown,pending,,,,
https://bsahely.com/2013/02/13/watch-the-three-sides-of-corruption-afra-raymond-at-tedxportofspain-on-youtube/,,https://bsahely.com/2013/02/13/watch-the-three-sides-of-corruption-afra-raymond-at-tedxportofspain-on-youtube/,2013-02-13T00:00:00Z,2018-08-24T10:11:47+00:00,Watch The Three Sides Of Corruption Afra Raymond At Tedxportofspain On Youtube,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2013/02/14/is-our-political-system-corrupt/,,https://bsahely.com/2013/02/14/is-our-political-system-corrupt/,2013-02-14T00:00:00Z,2018-08-24T10:09:49+00:00,Is Our Political System Corrupt,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2013/02/17/a-more-beautiful-st-kitts-and-nevis-our-hearts-tell-us-is-possible-from-political-tribalism-to-national-unity/,,https://bsahely.com/2013/02/17/a-more-beautiful-st-kitts-and-nevis-our-hearts-tell-us-is-possible-from-political-tribalism-to-national-unity/,2013-02-17T00:00:00Z,2018-11-25T07:15:01+00:00,A More Beautiful St Kitts And Nevis Our Hearts Tell Us Is Possible From Political Tribalism To National Unity,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2013/02/24/from-political-tribalism-to-national-unity-how-do-we-get-from-here-to-there/,,https://bsahely.com/2013/02/24/from-political-tribalism-to-national-unity-how-do-we-get-from-here-to-there/,2013-02-24T00:00:00Z,2018-11-25T07:15:03+00:00,From Political Tribalism To National Unity How Do We Get From Here To There,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2013/03/16/a-blueprint-for-nation-building/,,https://bsahely.com/2013/03/16/a-blueprint-for-nation-building/,2013-03-16T00:00:00Z,2018-11-25T06:58:20+00:00,A Blueprint For Nation Building,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2013/03/17/some-musings-on-how-we-can-untangle-our-constitutional-knots-from-the-letter-of-the-law-and-the-rule-of-lawyers-to-the-spirit-of-the-law-and-the-rule-of-law/,,https://bsahely.com/2013/03/17/some-musings-on-how-we-can-untangle-our-constitutional-knots-from-the-letter-of-the-law-and-the-rule-of-lawyers-to-the-spirit-of-the-law-and-the-rule-of-law/,2013-03-17T00:00:00Z,2018-11-25T07:15:08+00:00,Some Musings On How We Can Untangle Our Constitutional Knots From The Letter Of The Law And The Rule Of Lawyers To The Spirit Of The Law And The Rule Of Law,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2013/05/21/father-forgive-us-for-we-know-not-what-we-do/,,https://bsahely.com/2013/05/21/father-forgive-us-for-we-know-not-what-we-do/,2013-05-21T00:00:00Z,2022-09-28T17:21:26+00:00,Father Forgive Us For We Know Not What We Do,,,,[],other,false,unknown,pending,,,,
https://bsahely.com/2013/05/27/for-the-love-of-country-can-we-put-our-country-above-self/,,https://bsahely.com/2013/05/27/for-the-love-of-country-can-we-put-our-country-above-self/,2013-05-27T00:00:00Z,2018-11-25T07:15:30+00:00,For The Love Of Country Can We Put Our Country Above Self,,,,[],other,false,unknown,pending,,,,
